0	8.95
1000	8.84
2000	8.71
3000	8.58
4000	8.44
5000	8.29
6000	8.14
7000	7.97
8000	7.80
9000	7.62
10000	7.43
11000	7.24
12000	7.04
13000	6.84
14000	6.63
15000	6.42
16000	6.20
17000	5.99
18000	5.76
19000	5.54
20000	5.32
21000	5.09
22000	4.87
23000	4.64
24000	4.42
25000	4.20
26000	3.98
27000	3.76
28000	3.55
29000	3.33
30000	3.13
31000	2.93
32000	2.73
33000	2.54
34000	2.35
35000	2.17
36000	2.00
37000	1.84
38000	1.68
39000	1.53
40000	1.39
41000	1.26
42000	1.14
43000	1.03
44000	0.93
45000	0.84
46000	0.76
47000	0.69
48000	0.63
49000	0.58
50000	0.55
51000	0.52
52000	0.50
53000	0.50
54000	0.51
55000	0.53
56000	0.56
57000	0.60
58000	0.65
59000	0.71
60000	0.79
61000	0.87
62000	0.96
63000	1.07
64000	1.18
65000	1.31
66000	1.44
67000	1.58
68000	1.73
69000	1.89
70000	2.06
71000	2.23
72000	2.41
73000	2.60
74000	2.79
75000	2.99
76000	3.20
77000	3.40
78000	3.62
79000	3.83
80000	4.05
81000	4.27
82000	4.50
83000	4.72
84000	4.94
85000	5.17
86000	5.39
87000	5.62
88000	5.84
89000	6.06
90000	6.28
91000	6.49
92000	6.70
93000	6.91
94000	7.11
95000	7.30
96000	7.49
97000	7.68
98000	7.86
99000	8.03
100000	8.19
101000	8.34
102000	8.49
103000	8.63
104000	8.76
105000	8.88
106000	8.98
107000	9.08
108000	9.17
109000	9.25
110000	9.32
111000	9.38
112000	9.42
113000	9.46
114000	9.48
115000	9.50
116000	9.50
117000	9.49
118000	9.47
119000	9.44
