# alpha=1. message count, goldenfork, pizzasmile, veggieparadise
   100 8.84 7.27 5.90
   200 8.77 6.82 4.66
   300 8.34 7.38 5.11
   400 8.45 7.61 5.20
   500 8.77 6.32 5.82
   600 8.64 7.12 5.74
   700 8.72 6.79 5.30
   800 8.77 6.88 5.15
   900 8.73 6.44 4.54
  1000 8.50 6.39 5.20
  1100 8.62 6.37 4.84
  1200 7.36 7.11 5.64
  1300 8.80 7.50 5.45
  1400 8.04 6.96 4.69
  1500 8.00 6.74 4.76
  1600 8.15 6.37 4.54
  1700 7.45 6.47 4.70
  1800 8.49 6.51 4.76
  1900 8.09 6.26 5.18
  2000 8.21 6.49 4.80
  2100 8.17 6.26 4.91
  2200 8.67 6.19 5.07
  2300 7.42 6.42 5.05
  2400 8.30 6.33 4.17
  2500 8.31 6.21 5.57
  2600 7.99 6.08 4.63
  2700 8.06 5.82 5.12
  2800 8.22 5.89 4.63
  2900 8.43 5.37 4.73
  3000 7.80 6.15 4.33
  3100 7.85 5.78 4.15
  3200 7.15 6.12 4.34
  3300 8.23 6.54 3.96
  3400 7.77 5.49 4.26
  3500 8.08 5.52 4.30
  3600 8.08 6.12 4.56
  3700 7.73 5.62 4.03
  3800 8.07 5.57 3.62
  3900 7.98 5.23 5.50
  4000 7.64 4.50 4.64
  4100 7.73 5.40 4.91
  4200 7.80 5.76 4.49
  4300 7.89 5.02 4.07
  4400 7.75 5.12 4.05
  4500 7.38 4.48 3.93
  4600 7.58 4.61 3.95
  4700 7.77 4.65 4.16
  4800 7.56 4.39 4.22
  4900 7.44 4.88 4.75
  5000 7.92 4.42 4.36
  5100 7.06 4.59 3.53
  5200 7.49 4.40 3.79
  5300 8.08 4.69 3.61
  5400 6.76 4.56 3.88
  5500 7.09 4.54 4.40
  5600 7.62 4.11 3.82
  5700 6.60 4.71 2.93
  5800 6.64 5.36 4.41
  5900 6.99 4.22 3.93
  6000 7.06 4.25 3.56
  6100 7.66 4.06 3.91
  6200 7.38 3.41 3.84
  6300 7.09 4.16 3.95
  6400 7.23 3.75 3.74
  6500 7.03 3.96 4.50
  6600 6.69 3.94 4.06
  6700 6.46 3.56 3.85
  6800 7.03 3.85 3.68
  6900 7.42 3.70 3.71
  7000 6.58 3.89 3.85
